neuron_id,cell_type
4522237537,PYRAMIDAL
3093748739,PYRAMIDAL
3470629528,PYRAMIDAL
5136107765,PYRAMIDAL
4138580687,SPINY_ATYPICAL
3329117097,PYRAMIDAL
5584343344,INTERNEURON
2001418787,PYRAMIDAL
4830551047,INTERNEURON
3503540481,PYRAMIDAL
751294744,PYRAMIDAL
3955003482,PYRAMIDAL
2325998949,INTERNEURON
5013648003,SPINY_ATYPICAL
4711567524,PYRAMIDAL
5536146025,SPINY_ATYPICAL
2074305737,PYRAMIDAL
6312553992,OLIGO
4641147055,SPINY_ATYPICAL
1684504313,PYRAMIDAL
810970127,PYRAMIDAL
4010150634,PYRAMIDAL
546925828,PYRAMIDAL
4932057570,PYRAMIDAL
3178243558,PYRAMIDAL
4365276903,PYRAMIDAL
4157825456,PYRAMIDAL
2848552900,PYRAMIDAL
5061320552,INTERNEURON
1874244336,PYRAMIDAL
4039221194,PYRAMIDAL
883843993,PYRAMIDAL
2195261734,PYRAMIDAL
2888180252,PYRAMIDAL
3571083397,PYRAMIDAL
3139317430,PYRAMIDAL
5319188363,PYRAMIDAL
7893125555,PYRAMIDAL
2820958695,INTERNEURON
5654281423,PYRAMIDAL
4437316933,PYRAMIDAL
1787105373,INTERNEURON
4467761196,INTERNEURON
547114083,PYRAMIDAL
620880207,PYRAMIDAL
5439194879,PYRAMIDAL
1900905433,INTERNEURON
3836078296,PYRAMIDAL
5173982155,SPINY_ATYPICAL
4873639924,PYRAMIDAL
5687162964,PYRAMIDAL
3761379470,PYRAMIDAL
4260528559,INTERNEURON
3111823553,PYRAMIDAL
7196644737,SPINY_ATYPICAL
5965472721,INTERNEURON
4607885827,PYRAMIDAL
7470340367,OLIGO
678539249,INTERNEURON
3680152874,INTERNEURON
2036037232,INTERNEURON
4476359994,INTERNEURON
1072605926,PYRAMIDAL
4582188328,PYRAMIDAL
5216806368,SPINY_ATYPICAL
2451406889,INTERNEURON
6833911543,SPINY_ATYPICAL
3954491075,PYRAMIDAL
1669770671,PYRAMIDAL
5015035926,PYRAMIDAL
4420044370,INTERNEURON
1830470325,PYRAMIDAL
4125702786,INTERNEURON
5352961465,PYRAMIDAL
2530864375,INTERNEURON
2306214824,PYRAMIDAL
4188575291,PYRAMIDAL
4668874666,PYRAMIDAL
955432427,PYRAMIDAL
5060444657,INTERNEURON
2903686765,PYRAMIDAL
2889815798,INTERNEURON
3383650350,PYRAMIDAL
810151953,PYRAMIDAL
2103991145,PYRAMIDAL
4554213569,PYRAMIDAL
3519995546,PYRAMIDAL
2252715458,PYRAMIDAL
7052969349,PYRAMIDAL
5832764277,PYRAMIDAL
5175880292,PYRAMIDAL
1304599410,PYRAMIDAL
3606783425,OLIGO
4711641825,INTERNEURON
6126390733,INTERNEURON
2047644309,PYRAMIDAL
3432315514,PYRAMIDAL
5355296383,PYRAMIDAL
5215113731,SPINY_ATYPICAL
4197933517,SPINY_ATYPICAL
1930502394,PYRAMIDAL
4853956860,INTERNEURON
5805562981,INTERNEURON
4535129012,PYRAMIDAL
2104047922,INTERNEURON
3812058320,PYRAMIDAL
1465400601,PYRAMIDAL
3751392341,INTERNEURON
4524821265,INTERNEURON
