neuron_id,layer
4522237537,Layer 4
3093748739,Layer 4
3470629528,Layer 5
5136107765,Layer 2
4138580687,Layer 5
3329117097,Layer 3
5584343344,Layer 5
2001418787,Layer 4
4830551047,Layer 2
3503540481,Layer 4
751294744,Layer 2
3955003482,Layer 4
2325998949,Layer 1
5013648003,Layer 5
4711567524,Layer 3
5536146025,Layer 6
2074305737,Layer 4
6312553992,Layer 4
4641147055,Layer 2
1684504313,Layer 2
810970127,Layer 2
4010150634,Layer 4
546925828,Layer 2
4932057570,Layer 2
3178243558,Layer 5
4365276903,Layer 2
4157825456,Layer 5
2848552900,Layer 2
5061320552,Layer 3
1874244336,Layer 2
4039221194,Layer 5
883843993,Layer 2
2195261734,Layer 2
2888180252,Layer 4
3571083397,Layer 5
3139317430,Layer 4
5319188363,Layer 6
7893125555,White matter
2820958695,Layer 2
5654281423,Layer 6
4437316933,Layer 2
1787105373,Layer 1
4467761196,Layer 1
547114083,Layer 2
620880207,Layer 2
5439194879,Layer 4
1900905433,Layer 3
3836078296,Layer 4
5173982155,Layer 5
4873639924,Layer 3
5687162964,Layer 4
3761379470,Layer 4
4260528559,Layer 3
3111823553,Layer 2
7196644737,White matter
5965472721,Layer 3
4607885827,Layer 5
7470340367,White matter
678539249,Layer 2
3680152874,Layer 2
2036037232,Layer 1
4476359994,Layer 5
1072605926,Layer 2
4582188328,Layer 3
5216806368,Layer 6
2451406889,Layer 4
6833911543,Layer 5
3954491075,Layer 4
1669770671,Layer 2
5015035926,Layer 5
4420044370,Layer 3
1830470325,Layer 2
4125702786,Layer 5
5352961465,Layer 4
2530864375,Layer 1
2306214824,Layer 4
4188575291,Layer 3
4668874666,Layer 4
955432427,Layer 2
5060444657,Layer 4
2903686765,Layer 4
2889815798,Layer 4
3383650350,Layer 4
810151953,Layer 2
2103991145,Layer 3
4554213569,Layer 2
3519995546,Layer 2
2252715458,Layer 2
7052969349,White matter
5832764277,Layer 4
5175880292,Layer 4
1304599410,Layer 2
3606783425,Layer 2
4711641825,Layer 3
6126390733,Layer 2
2047644309,Layer 2
3432315514,Layer 2
5355296383,Layer 2
5215113731,Layer 6
4197933517,Layer 5
1930502394,Layer 2
4853956860,Layer 5
5805562981,Layer 2
4535129012,Layer 4
2104047922,Layer 3
3812058320,Layer 2
1465400601,Layer 2
3751392341,Layer 2
4524821265,Layer 2
